拒审建议,拒审类型,拒审详细内容,素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%),回访-加为好友(计费时间),回访-高潜成交(计费时间),回访-信息确认(计费时间)
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7667906081540816934",0929-引流-魏怡-4.mp4,https://video-cn.oceanengine.com/5427c04ba8343b9860399f5818a11fab/6a6d5eb3/tos-cn-ve-51/oEUWgnDGA12QUAXJ4gfCRaLTABaeCRAmbe01PA?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=474&bt=474&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY0NWUzNzc2PDU5NWczaDlnQGkzM29yN286M3g8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMzUzL2FfYTUxMV5hNTQ0NmEjc14ucGFhZi1oYS0tZDBhc3M%3D&btag=80000200018000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7667906049258455086",0929-引流-魏怡-5.mp4,https://video-cn.oceanengine.com/65099687fe97eb3c45f7ea47785f1837/6a6d5ec7/tos-cn-ve-51/oc1kdIAQ9EI6SQThjhEgaArWtmknaA4CdXyzp?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=585&bt=585&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoODc4PGg4Z2kzNDM8Z2YzQGkzcW1xNm86M3g8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMzYxMDAyY15jMWM1LTQyLWEjYTFgcmFhZi1oYS0tZDBhc3M%3D&btag=80000200028000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7667906045155049498",0929-引流-魏怡-10.mp4,https://video-cn.oceanengine.com/62cb4c2801b16bbba2b72b47c693d48c/6a6d5e9f/tos-cn-ve-51/oYdQinBuEIzcQkBcKIadAptTB9W7QBmjAg4Ag?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=603&bt=603&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY2NmY3NDQ1aDxkOmU1OTgzQGkzajloaG86M3g8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNF4vXzM2LzU2MTEvLTBjM2EjYjFsMmFhZi1oYS0tZDBhc3M%3D&btag=80000200010000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：11秒<img src="https://p9-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/238888cec178454cbe0de2ebc0d9df8c~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879931739&x-signature=uTUkf%2BPw4uD%2FqXUssk7H3BOQIUc%3D">),资料图,资料图,"	7667906036482097161",0929-引流-魏怡-6.mp4,https://video-cn.oceanengine.com/ae06dd12370865fb99d4de18425cb3a4/6a6d5e96/tos-cn-ve-51/oAfTcJQI7BaANhqtPPAvD1wAaTlgmBKPQWDYIY?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=231&bt=231&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY8aGU4Omc2Zzc7ZGVmOzhpQGkzZmxnZ286M3g8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMDAyMzIxLjU1MTAyNTYuNmEjNGxwNmFhZi1oYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：4秒<img src="https://p6-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/2725eb2eedcb4e7cabfeb1e3670d598a~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879931743&x-signature=gu54VJ0GHXcnard8zLmcLvuk8uA%3D">),资料图,资料图,"	7667906023621869606",0929-引流-魏怡-1.mp4,https://video-cn.oceanengine.com/cf63e75f9af4a2893573f970f6dab436/6a6d5e94/tos-cn-ve-51/ocxKbQzmI5wzgPAnAlpQIEsvBqk4JAWBHjtda?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1597&bt=1597&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnODo7aTkzOzc7OWQ6NTQ4QGlqPGltNm86M3g8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMmMxYGFjMl8wMS82NF8tMmEja2ZvMGFhZi1oYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"建议1:您好，素材中不得涉及国内、国际政治敏感信息或时事热点，请修改，谢谢。
建议2:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：30秒<img src=""https://p6-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/5e573e7d518340a592c23b1acb9c50bd~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879931744&x-signature=75OESsr4FiJQ5fMdI0bEDNI3oe8%3D"">)",资料图,资料图,"	7667906021818318874",0729-瑞晨浩正引流素材-4.mp4,https://video-cn.oceanengine.com/ad081f36caa7fcfbccc350dbd856f2a9/6a6d5eb0/tos-cn-ve-51/ogWfCG91NArjgy6QdoZOtm4AmTp0E7a2BgQQIt?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1505&bt=1505&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY5aTw0M2dlZ2g4OTY5Ozk0QGkzbGQ5O286dHc8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNTFeNV5jY14vMTMzNDEwY2EjNTRfZGFhbnNoYS0tZDBhc3M%3D&btag=80000200018000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7667906021572689947",0929-引流-魏怡-9.mp4,https://video-cn.oceanengine.com/f9cc6e9d9d51a1d7881e588404f43aed/6a6d5e9f/tos-cn-ve-51/owa8a7LQAE4NBtBBGhzIJfPBlWBRAmQvp1IPAg?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=563&bt=563&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY6OjMzNmg0NzRnPGg1O2VpQGlqOXd5OG86M3g8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojL2FiYjYwYTYuMV40Yi9jXmEjNWBnb2FhZi1oYS0tZDAwc3M%3D&btag=80000200010000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：3秒<img src="https://p6-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/75a6ff304e934f2c99534ce817f547f2~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879931751&x-signature=%2FqoKNVmlSZxSKzuscfwJJKQVkc4%3D">),效果保证,物理100分,"	7667906020891295770",0929-引流-魏怡-3.mp4,https://video-cn.oceanengine.com/9fb0ae6d00539a8d7fc9313ccaa73bed/6a6d5e96/tos-cn-ve-51/ogTybaCbE1U70FGAwADrAaD4QRPCfZB2e3IKeg?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1119&bt=1119&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnOzg1MzVkaGUzODdlOmlmQGlqOmV3OW86M3g8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMDEvYjQ1NF81MS4yLWFjNmEjcGxgc2FhZi1oYS0tZDAvc3M%3D&btag=80000200008000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"	7667906012121514035",0929-引流-魏怡-7.mp4,https://video-cn.oceanengine.com/f7736d84b36b201b0d9284557f9044c5/6a6d5e96/tos-cn-ve-51/oMAqzpatdlI4QAAX71ZEnBgIhygktmWOQIEBZ?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=221&bt=221&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY3ZmZoO2hnOmk1ZjNmNjk0QGkzczM4OG86M3g8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYi4yMjAwLV9gMTIxMjQuYWEjNC9uMWFhZi1oYS0tZDAvc3M%3D&btag=80000200008000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：11秒<img src="https://p9-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/21e177366438498aa97a0633d37fee9f~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879931745&x-signature=ljtUNOKvybOFEgRPseiUfK6F0tw%3D">),资料图,资料图,"	7667906009350406194",0929-引流-魏怡-8.mp4,https://video-cn.oceanengine.com/8ce9afba308e3feaf4aea08d1cd362e2/6a6d5e96/tos-cn-ve-51/o8NAnzkLWgQkVEImMAIydpMWKIBUaAM4wt1kW?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=394&bt=394&cs=0&ds=3&ft=J9ThAGkHH_Myq8ZUyfY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGYzZzxnZWk2NmY6Ozs6aWg7QGkzbzw1N286M3g8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYC4yYV4zLTUyMTZfYDQuYmEjM2BtXmFhZi1oYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1785379723&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=202607301048427B78E9CB5A94A6DEAC3D&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
